Benchmark,Language,Transform,NewMethod,TimesBlowup
richards,python_pyjs,original,direct,1.0001900578620602
schulze,python_pyjs,original,direct,1.0001562449139025
spectral_norm,python_pyjs,original,direct,1.0001963950595731
ack,racket_racketscript,original,direct,1.0003756476008119
dderiv,racket_racketscript,original,direct,1.0003679758771369
deriv,racket_racketscript,original,direct,1.0003699954264453
destruc,racket_racketscript,original,direct,1.0003729912865091
diviter,racket_racketscript,original,direct,1.0003708740264556
divrec,racket_racketscript,original,direct,1.0003709561911043
graphs,racket_racketscript,original,direct,1.0003638035662856
lattice,racket_racketscript,original,direct,1.0003670529218942
takl,racket_racketscript,original,direct,1.0003748243011088
DeltaBlue,scala,original,direct,1.0002116514101276
Richards,scala,original,direct,1.000161098693087
SHA512,scala,original,direct,1.0001103943993241
Sudoku,scala,original,direct,1.0001337044870855
binarytrees,clojurescript,original,wrapper,1.0003096947356196
collatz,clojurescript,original,wrapper,1.0008654782368285
fannkuch,clojurescript,original,wrapper,1.0007654607116658
mandelbrot,clojurescript,original,wrapper,1.000312077395194
memuse,clojurescript,original,wrapper,1.0006097354425663
meteor,clojurescript,original,wrapper,1.0002971240864467
nbody,clojurescript,original,wrapper,1.0003084423234274
pidigits,clojurescript,original,wrapper,1.0008783487044357
spectralnorm,clojurescript,original,wrapper,1.000858440737782
DeltaBlue,dart_dart2js,original,wrapper,1.001540601262437
FluidMotion,dart_dart2js,original,wrapper,1.0010987334045476
Richards,dart_dart2js,original,wrapper,1.0017518674420303
Tracer,dart_dart2js,original,wrapper,1.0010898687616365
almabench,ocaml,original,wrapper,1.0008612337173
bdd,ocaml,original,wrapper,1.0022526045740388
fft,ocaml,original,wrapper,1.001051970252619
fib,ocaml,original,wrapper,1.0011045485924677
hamming,ocaml,original,wrapper,1.0003018994507107
kb,ocaml,original,wrapper,1.0003328156201465
lens,ocaml,original,wrapper,1.0008753799392098
lexifi_g2pp,ocaml,original,wrapper,1.0002891995999406
nucleic,ocaml,original,wrapper,1.0004888846639597
sequence,ocaml,original,wrapper,1.0003150984682714
b,python_pyjs,original,wrapper,1.0002013158225849
binary_trees,python_pyjs,original,wrapper,1.0001981080679512
gcbench,python_pyjs,original,wrapper,1.0001983323554446
nbody,python_pyjs,original,wrapper,1.0001938694181762
pystone,python_pyjs,original,wrapper,1.000195380340396
raytrace_simple,python_pyjs,original,wrapper,1.0001819850014029
richards,python_pyjs,original,wrapper,1.0001900578620602
schulze,python_pyjs,original,wrapper,1.0001562449139025
spectral_norm,python_pyjs,original,wrapper,1.0001963950595731
ack,racket_racketscript,original,wrapper,1.0003756476008119
dderiv,racket_racketscript,original,wrapper,1.0003679758771369
deriv,racket_racketscript,original,wrapper,1.0003699954264453
destruc,racket_racketscript,original,wrapper,1.0003729912865091
diviter,racket_racketscript,original,wrapper,1.0003708740264556
divrec,racket_racketscript,original,wrapper,1.0003709561911043
graphs,racket_racketscript,original,wrapper,1.0003638035662856
lattice,racket_racketscript,original,wrapper,1.0003670529218942
takl,racket_racketscript,original,wrapper,1.0003748243011088
DeltaBlue,scala,original,wrapper,1.0002116514101276
Richards,scala,original,wrapper,1.000161098693087
SHA512,scala,original,wrapper,1.0001103943993241
Sudoku,scala,original,wrapper,1.0001337044870855
