Benchmark,Language,Transform,NewMethod,TimesBlowup
meteor,clojurescript,original,direct,1.011224687710205
nbody,clojurescript,original,direct,1.0116522655517048
pidigits,clojurescript,original,direct,1.0331820621675694
spectralnorm,clojurescript,original,direct,1.0324299834273247
DeltaBlue,dart_dart2js,original,direct,1.0582004921365145
FluidMotion,dart_dart2js,original,direct,1.041507706394018
Richards,dart_dart2js,original,direct,1.0661816589211417
Tracer,dart_dart2js,original,direct,1.04117281988405
almabench,ocaml,original,direct,1.0325354959868902
bdd,ocaml,original,direct,1.085098395019241
fft,ocaml,original,direct,1.0397410984322721
fib,ocaml,original,direct,1.041727391270998
hamming,ocaml,original,direct,1.0114050903601828
kb,ocaml,original,direct,1.0125730345388655
lens,ocaml,original,direct,1.0330699088145896
lexifi_g2pp,ocaml,original,direct,1.0109253182199764
nucleic,ocaml,original,direct,1.0184689761940329
sequence,ocaml,original,direct,1.0119037199124727
anagram,python_pyjs,original,direct,1.0068862757731958
b,python_pyjs,original,direct,1.0095576111561355
binary_trees,python_pyjs,original,direct,1.0094053973780392
deltablue,python_pyjs,original,direct,1.0087157740218964
fib,python_pyjs,original,direct,1.0068922848730468
gcbench,python_pyjs,original,direct,1.009409252982348
nbody,python_pyjs,original,direct,1.0092042619500656
pystone,python_pyjs,original,direct,1.0092759598041743
raytrace_simple,python_pyjs,original,direct,1.0086402910413825
richards,python_pyjs,original,direct,1.0090233895756104
schulze,python_pyjs,original,direct,1.0074186872828081
spectral_norm,python_pyjs,original,direct,1.0093241110059952
ack,racket_racketscript,original,direct,1.0141911315862242
dderiv,racket_racketscript,original,direct,1.0139013109140622
deriv,racket_racketscript,original,direct,1.0139776049990492
destruc,racket_racketscript,original,direct,1.0140907819347886
diviter,racket_racketscript,original,direct,1.0140107965549923
divrec,racket_racketscript,original,direct,1.0140139005528277
graphs,racket_racketscript,original,direct,1.0137436902818973
lattice,racket_racketscript,original,direct,1.013866443716003
takl,racket_racketscript,original,direct,1.0141600291530013
